Movie,LeadStudio,Genre,RottenTomatoes,AudienceScore,WorldGross,Budget,Year,Ganancia,Exitosa
Live Free or Die Hard,Fox,Action,79.0,86.0,383.53,110.0,2007,273.53,True
Hotel Transylvania,Sony,Other Genres,45.0,72.0,358.38,85.0,2012,273.38,False
Prometheus,Fox,Other Genres,74.0,69.0,403.35,130.0,2012,273.35,True
Wanted,Universal,Action,73.0,72.0,341.43,75.0,2008,266.43,True
Night at the Museum: Battle of the Smithsonian,Fox,Action,43.0,60.0,413.0,150.0,2009,263.0,False
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,Adventure,49.0,63.0,415.685,155.0,2010,260.685,False
The Hangover Part III,Warner Bros,Other Genres,19.0,45.0,362.0,103.0,2013,259.0,False
Journey 2: The Mysterious Island,Warner Bros,Other Genres,52.0,60.0,335.26,79.0,2012,256.26,False
The Mummy: Tomb of the Dragon Emperor,Universal,Action,14.0,40.0,401.13,145.0,2008,256.13,False
Bridesmaids,Relativity Media,Comedy,90.0,77.0,288.38,32.5,2011,255.88,True
Enchanted,Disney,Comedy,93.0,80.0,340.49,85.0,2007,255.49,True
Inglourious Basterds,Universal,Adventure,88.0,87.0,321.41,70.0,2009,251.41000000000003,True
The Great Gatsby,Warner Bros,Other Genres,49.0,68.0,351.04,105.0,2013,246.04000000000002,False
G.I. Joe: Retaliation,Paramount,Other Genres,28.0,49.0,375.74,130.0,2013,245.74,False
Star Trek,Paramount,Action,94.0,91.0,385.65,140.0,2009,245.64999999999998,True
The Adventures of Tintin,Paramount,Adventure,74.0,78.0,373.993,130.0,2011,243.993,True
The Smurfs 2,Sony,Other Genres,14.0,58.0,347.55,105.0,2013,242.55,False
High School Musical 3: Senior Year,Disney,Comedy,65.0,76.0,252.91,11.0,2008,241.91,True
Gran Torino,Warner Bros,Drama,80.0,90.0,269.96,33.0,2008,236.95999999999998,True
Resident Evil: Afterlife,Highlight Communications,Action,24.0,53.0,296.22,60.0,2010,236.22000000000003,False
We're the Millers,Warner Bros,Other Genres,47.0,73.0,269.99,37.0,2013,232.99,False
Captain America: The First Avenger,Disney,Action,78.0,75.0,370.57,140.0,2011,230.57,True
Tron: Legacy,Independent,Action,50.0,67.0,400.062,170.0,2010,230.062,False
Snow White and the Huntsman,Universal,Other Genres,48.0,52.0,396.59,170.0,2012,226.58999999999997,False
Ocean's 13,Warner Bros,Thriller,70.0,74.0,311.31,85.0,2007,226.31,True
Juno,Fox,Comedy,94.0,89.0,231.41,7.5,2007,223.91,True
X-Men Origins: Wolverine,Fox,Action,37.0,72.0,373.1,150.0,2009,223.10000000000002,False
Pacific Rim,Warner Bros,Other Genres,71.0,78.0,411.0,190.0,2013,221.0,True
The Chronicles of Narnia: Prince Caspian,Disney,Action,66.0,78.0,419.67,200.0,2008,219.67000000000002,True
Silver Linings Playbook,Weinstein,Other Genres,92.0,86.0,236.41,21.0,2012,215.41,True
Shutter Island,Paramount,Drama,68.0,73.0,294.802,80.0,2010,214.80200000000002,True
True Grit,Paramount,Adventure,96.0,86.0,252.273,38.0,2010,214.273,True
A Good Day to Die Hard,Fox,Other Genres,14.0,42.0,304.65,92.0,2013,212.64999999999998,False
Dr. Seuss' Horton Hears a Who!,Fox,Animation,79.0,75.0,297.14,85.0,2008,212.14,True
Little Fockers,Independent,Comedy,9.0,40.0,310.649,100.0,2010,210.649,False
Lincoln,Buena Vista,Other Genres,90.0,81.0,275.29,65.0,2012,210.29000000000002,True
Super 8,Paramount,Horror,82.0,78.0,260.1,50.0,2011,210.10000000000002,True
Monsters Vs. Aliens,Paramount,Animation,72.0,65.0,381.5,175.0,2009,206.5,True
The Expendables 2,Lionsgate,Other Genres,65.0,68.0,305.43,100.0,2012,205.43,True
Paranormal Activity 3,Independent,Horror,68.0,58.0,207.04,5.0,2011,202.04,True
Taken,Fox,Action,58.0,83.0,226.8,25.0,2009,201.8,False
Michael Jackson's This Is It,Sony,Documentary,81.0,82.0,261.19,60.0,2009,201.19,True
Journey to the Center of the Earth,Warner Bros,Action,61.0,55.0,241.99,45.0,2008,196.99,True
Bad Teacher,Independent,Comedy,44.0,38.0,216.2,20.0,2011,196.2,False
X-Men: First Class,Disney,Action,87.0,88.0,353.62,160.0,2011,193.62,True
The Expendables,Independent,Action,40.0,58.0,274.469,82.0,2010,192.469,False
The Golden Compass,Warner Bros,Action,42.0,55.0,372.23,180.0,2007,192.23000000000002,False
Megamind,Paramount,Animation,72.0,73.0,321.884,130.0,2010,191.88400000000001,True
The Help,DreamWorks,Drama,75.0,91.0,216.64,25.0,2011,191.64,True
Grown Ups,Independent,Comedy,10.0,59.0,271.43,80.0,2010,191.43,False
Real Steel,DreamWorks,Action,58.0,81.0,299.27,110.0,2011,189.26999999999998,False
Sex and the City 2,Warner Bros,Comedy,15.0,49.0,288.347,100.0,2010,188.34699999999998,False
Marley and Me,Fox,Comedy,63.0,77.0,242.72,55.0,2008,187.72,True
Argo,Warner Bros,Other Genres,96.0,90.0,232.33,45.0,2012,187.33,True
The Heat,Fox,Other Genres,66.0,73.0,229.93,43.0,2013,186.93,True
Knocked Up,Universal,Comedy,91.0,83.0,219.08,33.0,2007,186.08,True
American Reunion,Universal,Other Genres,44.0,63.0,234.99,50.0,2012,184.99,False
What Happens in Vegas,Fox,Comedy,28.0,72.0,219.38,35.0,2008,184.38,False
Salt,Sony,Action,62.0,62.0,293.502,110.0,2010,183.502,True
District 9,Independent,Action,91.0,81.0,210.77,30.0,2009,180.77,True
Cloudy with a Chance of Meatballs 2,Sony,Other Genres,70.0,66.0,257.77,78.0,2013,179.76999999999998,True
The Tourist,Sony,Thriller,20.0,44.0,278.346,100.0,2010,178.346,False
Hansel & Gretel,Paramount,Other Genres,15.0,54.0,225.7,50.0,2013,175.7,False
Up in the Air,Paramount,Drama,90.0,76.0,200.2,25.0,2009,175.2,True
Resident Evil: Retribution,Screen Gems,Action,31.0,51.0,240.16,65.0,2012,175.16,False
The Social Network,Sony,Biography,96.0,89.0,224.919,50.0,2010,174.919,True
Horrible Bosses,Warner Bros,Comedy,69.0,72.0,209.64,35.0,2011,174.64,True
Paranormal Activity 2,Paramount,Horror,52.0,61.0,177.511,3.0,2010,174.511,False
The Curious Case of Benjamin Button,Warner Bros,Fantasy,73.0,81.0,333.93,160.0,2008,173.93,True
Terminator Salvation,Warner Bros,Action,33.0,64.0,372.0,200.0,2009,172.0,False
Elysium,TriStar,Other Genres,68.0,60.0,286.14,115.0,2013,171.14,True
Planes,Buena Vista,Other Genres,26.0,51.0,219.79,50.0,2013,169.79,False
The Last Airbender,Paramount,Action,6.0,42.0,319.713,150.0,2010,169.71300000000002,False
Epic,Fox,Other Genres,64.0,66.0,268.43,100.0,2013,168.43,True
The Ugly Truth,Independent,Comedy,14.0,68.0,205.28,38.0,2009,167.28,False
Grown Ups 2,Sony,Other Genres,7.0,55.0,246.98,80.0,2013,166.98,False
American Gangster,Universal,Thriller,79.0,87.0,266.46,100.0,2007,166.45999999999998,True
Oblivion,Universal,Other Genres,53.0,61.0,286.17,120.0,2013,166.17000000000002,False
The Vow,Screen Gems,Other Genres,29.0,63.0,196.11,30.0,2012,166.11,False
"10,000 B.C.",Warner Bros,Adventure,9.0,44.0,269.78,105.0,2008,164.77999999999997,False
Valentine's Day,Warner Bros,Comedy,17.0,54.0,216.485,52.0,2010,164.485,False
Wild Hogs,Disney,Comedy,14.0,72.0,253.62,90.0,2007,163.62,False
The Princess and the Frog,Disney,Animation,84.0,72.0,267.04,105.0,2009,162.04000000000002,True
Rise of the Guardians,DreamWorks,Other Genres,74.0,81.0,306.94,145.0,2012,161.94,True
Due Date,Warner Bros,Comedy,40.0,56.0,211.78,50.0,2010,161.78,False
Captain Phillips,Sony,Other Genres,93.0,92.0,216.49,55.0,2013,161.49,True
Magic Mike,Warner Bros,Other Genres,80.0,61.0,167.22,7.0,2012,160.22,True
Bolt,Disney,Animation,89.0,76.0,309.98,150.0,2008,159.98000000000002,True
21 Jump Street,Sony,Other Genres,85.0,82.0,201.59,42.0,2012,159.59,True
Fantastic Four: Rise of the Silver Surfer,Fox,Action,35.0,55.0,289.05,130.0,2007,159.05,False
Jack Reacher,Paramount,Other Genres,61.0,67.0,218.34,60.0,2012,158.34,True
Gnomeo and Juliet,Disney,Animation,56.0,52.0,193.97,36.0,2011,157.97,False
Paul Blart: Mall Cop,Sony,Action,33.0,50.0,183.28,26.0,2009,157.28,False
The Descendants,Fox,Drama,89.0,88.0,177.24,20.0,2011,157.24,True
Insidious Chapter 2,FilmDistrict,Other Genres,37.0,60.0,161.5,5.0,2013,156.5,False
Wrath of the Titans,Warner Bros,Other Genres,25.0,49.0,305.27,150.0,2012,155.26999999999998,False
He's Just Not That Into You,Warner Bros,Comedy,42.0,60.0,178.84,25.0,2009,153.84,False
Yes Man,Warner Bros,Comedy,43.0,72.0,223.24,70.0,2008,153.24,False
Immortals,Relativity Media,Action,36.0,59.0,226.9,75.0,2011,151.9,False
Jackass 3-D,Paramount,Documentary,63.0,72.0,171.685,20.0,2010,151.685,True
The Bourne Legacy,Universal,Other Genres,56.0,58.0,276.14,125.0,2012,151.14,False
Get Smart,Warner Bros,Action,51.0,73.0,230.69,80.0,2008,150.69,False
The Impossible,Summit,Other Genres,81.0,85.0,180.27,30.0,2012,150.27,True
Superbad,Sony,Comedy,88.0,87.0,169.87,20.0,2007,149.87,True
Turbo,Fox,Other Genres,67.0,67.0,282.57,135.0,2013,147.57,True
No Country for Old Men,Paramount,Drama,95.0,84.0,171.63,25.0,2007,146.63,True
Looper,TriStar,Other Genres,93.0,82.0,176.51,30.0,2012,146.51,True
The Final Destination,Warner Bros,Horror,29.0,52.0,186.19,40.0,2009,146.19,False
Cloverfield,Paramount,Action,77.0,67.0,170.76,25.0,2008,145.76,True
Knight and Day,Fox,Action,53.0,52.0,261.927,117.0,2010,144.92700000000002,False
Eat Pray Love,Sony,Drama,36.0,46.0,204.59,60.0,2010,144.59,False
Cloudy with a Chance of Meatballs,Sony,Animation,86.0,70.0,243.03,100.0,2009,143.03,True
The Girl With The Dragon Tattoo,Sony,Thriller,87.0,89.0,232.161,90.0,2011,142.161,True
Battle: Los Angeles,Relativity Media,Action,35.0,50.0,211.82,70.0,2011,141.82,False
Red,Summit,Action,71.0,72.0,199.006,58.0,2010,141.006,True
Jumper,Fox,Action,16.0,50.0,222.23,82.5,2008,139.73,False
Identity Thief,Universal,Other Genres,19.0,55.0,173.97,35.0,2013,138.97,False
Paranormal Activity 4,Paramount,Horror,24.0,36.0,142.84,5.0,2012,137.84,False
The Butler,Weinstein,Other Genres,73.0,79.0,167.74,30.0,2013,137.74,True
Lee Daniels' The Butler,Weinstein,Other Genres,73.0,80.0,167.71,30.0,2013,137.71,True
Bee Movie,Paramount,Animation,52.0,57.0,287.59,150.0,2007,137.58999999999997,False
Prince of Persia: The Sands of Time,Disney,Action,36.0,71.0,336.365,200.0,2010,136.365,False
G-Force,Disney,Action,22.0,50.0,285.1,150.0,2009,135.10000000000002,False
Just Go With It,Happy Madison,Romance,19.0,63.0,214.95,80.0,2011,134.95,False
Limitless,Virgin,Thriller,69.0,73.0,161.85,27.0,2011,134.85,True
Midnight in Paris,Sony,Romance,93.0,84.0,151.12,17.0,2011,134.12,True
It's Complicated,Universal,Comedy,56.0,63.0,219.1,85.0,2009,134.1,False
Bad Grandpa,Paramount,Other Genres,61.0,66.0,149.0,15.0,2013,134.0,True
In Time,Regency Enterprises,Thriller,38.0,55.0,173.93,40.0,2011,133.93,False
Knowing,Summit,Drama,33.0,50.0,183.58,50.0,2009,133.58,False
Australia,Fox,Adventure,55.0,69.0,211.34,78.0,2008,133.34,False
Step Up 2: The Streets,Disney,Drama,26.0,81.0,150.82,17.5,2008,133.32,False
The Day the Earth Stood Still,Fox,Thriller,19.0,34.0,233.09,100.0,2008,133.09,False
Bedtime Stories,Disney,Comedy,25.0,63.0,212.87,80.0,2008,132.87,False
Mr. Popper's Penguins,Fox,Comedy,47.0,54.0,187.36,55.0,2011,132.36,False
Percy Jackson & the Olympians: The Lightning Thief,Fox,Action,50.0,57.0,226.5,95.0,2010,131.5,False
Mama,Universal,Other Genres,66.0,57.0,146.43,15.0,2013,131.43,True
Flight,Paramount,Other Genres,78.0,75.0,161.77,31.0,2012,130.77,True
The Bucket List,Warner Bros,Drama,41.0,81.0,175.37,45.0,2007,130.37,False
27 Dresses,Fox,Comedy,40.0,71.0,160.26,30.0,2008,130.26,False
Saw IV,Independent,Horror,18.0,70.0,139.35,10.0,2007,129.35,False
Step Up 3D,Summit,Drama,46.0,67.0,159.291,30.0,2010,129.291,False
Beverly Hills Chihuahua,Disney,Adventure,41.0,56.0,149.28,20.0,2008,129.28,False
Hairspray,Warner Bros,Musical,92.0,84.0,202.55,75.0,2007,127.55000000000001,True
G.I. Joe: The Rise of Cobra,Paramount,Action,33.0,62.0,302.1,175.0,2009,127.10000000000002,False
The Best Exotic Marigold Hotel,Fox Searchlight,Other Genres,78.0,79.0,136.84,10.0,2012,126.84,True
P.S. I Love You,Independent,Romance,21.0,82.0,156.83,30.0,2007,126.83000000000001,False
Burn After Reading,Relativity Media,Comedy,78.0,64.0,163.72,37.0,2008,126.72,True
The Incredible Hulk,Universal,Action,67.0,75.0,263.43,137.5,2008,125.93,True
The Game Plan,Disney,Comedy,27.0,75.0,147.88,22.0,2007,125.88,False
Gulliver's Travels,Fox,Comedy,21.0,31.0,237.382,112.0,2010,125.382,False
A Christmas Carol,Disney,Animation,52.0,72.0,325.33,200.0,2009,125.32999999999998,False
Valkyrie,MGM,Thriller,58.0,66.0,200.28,75.0,2008,125.28,False
No Strings Attached,Spyglass Entertainment,Comedy,49.0,57.0,149.23,25.0,2011,124.22999999999999,False
Safe House,Universal,Other Genres,53.0,64.0,208.08,85.0,2012,123.08000000000001,False
21,Sony,Crime,35.0,73.0,157.93,35.0,2008,122.93,False
American Hustle,Sony,Other Genres,93.0,79.0,162.4,40.0,2013,122.4,True
Robin Hood,Universal,Action,42.0,59.0,321.669,200.0,2010,121.66899999999998,False
Yogi Bear,Other Lead Studios,Comedy,14.0,36.0,201.584,80.0,2010,121.584,False
Hop,Relativity Media,Animation,26.0,50.0,183.95,63.0,2011,120.94999999999999,False
Hannah Montana: The Movie,Disney,Comedy,44.0,66.0,155.55,35.0,2009,120.55000000000001,False
The Muppets,Disney,Comedy,97.0,87.0,165.18,45.0,2011,120.18,True
You Don't Mess with the Zohan,Sony,Comedy,36.0,50.0,199.94,80.0,2008,119.94,False
Ghost Rider,Sony,Action,28.0,56.0,228.74,110.0,2007,118.74000000000001,False
Rush Hour 3,Warner Bros,Action,20.0,68.0,258.02,140.0,2007,118.01999999999998,False
Average,Other Lead Studios,Other Genres,55.0,62.0,175.0,57.0,2011,118.0,False
Final Destination 5,New Line,Horror,61.0,56.0,157.89,40.0,2011,117.88999999999999,True
The Artist,Weinstein,Drama,97.0,91.0,133.432,16.0,2011,117.43199999999999,True
The Town,Warner Bros,Crime,94.0,83.0,154.025,37.0,2010,117.025,True
17 Again,Independent,Comedy,55.0,70.0,136.3,20.0,2009,116.30000000000001,False
Saw 3-D,Independent,Crime,10.0,47.0,136.15,20.0,2010,116.15,False
Anchorman 2,Paramount,Other Genres,75.0,62.0,165.5,50.0,2013,115.5,True
The Happening,Fox,Thriller,19.0,29.0,163.4,48.0,2008,115.4,False
Source Code,Summit,Thriller,92.0,81.0,147.33,32.0,2011,115.33000000000001,True
Johnny English Reborn,Relativity Media,Comedy,38.0,55.0,160.08,45.0,2011,115.08000000000001,False
Chronicle (2012),Fox,Other Genres,85.0,71.0,126.64,12.0,2012,114.64,True
Friends With Benefits,Warner Bros,Romance,71.0,68.0,149.54,35.0,2011,114.53999999999999,True
The Dictator,Paramount,Other Genres,57.0,45.0,179.38,65.0,2012,114.38,False
Public Enemies,Universal,Biography,67.0,65.0,214.1,100.0,2009,114.1,True
After Earth,Sony,Other Genres,11.0,38.0,243.84,130.0,2013,113.84,False
Seven Pounds,Sony,Drama,27.0,77.0,168.17,55.0,2008,113.16999999999999,False
Couples Retreat,Universal,Comedy,12.0,47.0,171.83,60.0,2009,111.83000000000001,False
War Horse,Disney,Drama,77.0,73.0,177.584,66.0,2011,111.584,True
Vantage Point,Sony,Other Genres,35.0,61.0,151.16,40.0,2008,111.16,False
The Woman in Black,CBS,Other Genres,66.0,55.0,127.73,17.0,2012,110.73,True
Rango,Paramount,Animation,88.0,69.0,245.72,135.0,2011,110.72,True
Percy Jackson: Sea of Monsters,Fox,Other Genres,40.0,58.0,199.85,90.0,2013,109.85,False
12 years a slave,Fox Searchlight,Drama,96.0,92.0,128.18,20.0,2013,108.18,True
The Green Hornet,Columbia,Action,44.0,47.0,227.82,120.0,2011,107.82,False
Step Up Revolution,Summit,Romance,42.0,69.0,140.47,33.0,2012,107.47,False
Music and Lyrics,Warner Bros,Romance,63.0,70.0,145.9,40.0,2007,105.9,True
The Fighter,Paramount,Drama,91.0,88.0,129.154,25.0,2010,104.154,True
Saw V,Independent,Crime,13.0,63.0,113.86,10.8,2008,103.06,False
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros,Musical,86.0,81.0,152.52,50.0,2007,102.52000000000001,True
The Iron Lady,Weinstein,Drama,53.0,54.0,114.955,13.0,2011,101.955,False
I Now Pronounce You Chuck and Larry,Universal,Comedy,13.0,73.0,186.07,85.0,2007,101.07,False
Unknown,Independent,Thriller,55.0,57.0,130.79,30.0,2011,100.78999999999999,False
The Devil Inside,Paramount,Other Genres,6.0,22.0,101.76,1.0,2012,100.76,False
Norbit,Paramount,Comedy,9.0,56.0,159.31,60.0,2007,99.31,False
Tropic Thunder,Paramount,Comedy,83.0,69.0,188.07,90.0,2008,98.07,True
Eagle Eye,Paramount,Action,27.0,72.0,178.07,80.0,2008,98.07,False
Disturbia,Paramount,Thriller,67.0,75.0,117.76,20.0,2007,97.76,True
Date Night,Fox,Comedy,66.0,58.0,152.263,55.0,2010,97.263,True
The Bounty Hunter,Sony,Action,7.0,41.0,136.333,40.0,2010,96.333,False
Pitch Perfect,Universal,Other Genres,81.0,83.0,113.04,17.0,2012,96.04,True
Dark Shadows,Warner Bros,Other Genres,38.0,46.0,245.53,150.0,2012,95.53,False
Insidious,Sony,Horror,67.0,65.0,97.01,1.5,2011,95.51,True
Parental Guidance,Fox,Other Genres,18.0,61.0,119.77,25.0,2012,94.77,False
This is the End,Sony,Other Genres,83.0,73.0,126.04,32.0,2013,94.04,True
